sukunimi,etunimi,ryhma,piiri,syntymapaika,status
Saarakkala,Vesa-Matti,ps,Vaasan vaalipiiri,24.03.1984,nyk
Saarikko,Annika,kesk,Varsinais-Suomen vaalipiiri,10.11.1983,nyk
Saarinen,Matti,,Uudenmaan vaalipiiri,16.06.1947,ent
Salo,Mauri,,Varsinais-Suomen vaalipiiri,02.08.1946,ent
Salo,Petri,,Vaasan vaalipiiri,18.10.1959,ent
Salolainen,Pertti,kok,Helsingin vaalipiiri,19.10.1940,nyk
Salonen,Kristiina,sd,Satakunnan vaalipiiri,07.06.1977,nyk
Salovaara,Pertti,,Pirkanmaan vaalipiiri,19.10.1970,ent
Sankelo,Janne,,Vaasan vaalipiiri,01.01.1967,ent
Sarkkinen,Hanna,vas,Oulun vaalipiiri,18.04.1988,nyk
Sarkomaa,Sari,kok,Helsingin vaalipiiri,24.09.1965,nyk
Sasi,Kimmo,,Pirkanmaan vaalipiiri,21.02.1952,ent
Satonen,Arto,kok,Pirkanmaan vaalipiiri,20.10.1966,nyk
Savio,Sami,ps,Pirkanmaan vaalipiiri,23.09.1975,nyk
Savola,Mikko,kesk,Vaasan vaalipiiri,29.11.1981,nyk
Semi,Matti,vas,Savo-Karjalan vaalipiiri,26.01.1957,nyk
Seurujärvi,Janne,,Lapin vaalipiiri,15.05.1975,ent
Sihto,Paula,,Vaasan vaalipiiri,25.05.1961,ent
Sinnemäki,Anni,,Helsingin vaalipiiri,20.07.1973,ent
Sipilä,Juha,kesk,Oulun vaalipiiri,25.04.1961,nyk
Sirén,Saara-Sofia,kok,Varsinais-Suomen vaalipiiri,10.07.1986,nyk
Sirnö,Minna,,Pirkanmaan vaalipiiri,14.05.1966,ent
Skinnari,Jouko,,Hämeen vaalipiiri,12.08.1946,ent
Skinnari,Ville,sd,Hämeen vaalipiiri,21.02.1974,nyk
Soini,Timo,ps,Uudenmaan vaalipiiri,30.05.1962,nyk
Soininvaara,Osmo,,Helsingin vaalipiiri,02.09.1951,ent
Soukola,Ismo,,Hämeen vaalipiiri,08.09.1960,ent
Strand,Joakim,r,Vaasan vaalipiiri,02.08.1982,nyk
Stubb,Alexander,kok,Uudenmaan vaalipiiri,01.04.1968,nyk
Sumuvuori,Johanna,,Helsingin vaalipiiri,08.11.1976,ent
Suutari,Eero,kok,Oulun vaalipiiri,27.12.1956,nyk
Särkiniemi,Seppo,,Uudenmaan vaalipiiri,11.04.1957,ent
Söderman,Jacob,,Helsingin vaalipiiri,19.03.1938,ent
Taavitsainen,Satu,sd,Kaakkois-Suomen vaalipiiri,06.01.1977,nyk
Tabermann,Tommy,,Uudenmaan vaalipiiri,03.12.1947,ent
Taimela,Katja,sd,Varsinais-Suomen vaalipiiri,23.11.1974,nyk
Tainio,Hanna,,Pirkanmaan vaalipiiri,20.09.1960,ent
Taiveaho,Satu,,Hämeen vaalipiiri,29.09.1976,ent
Talja,Martti,kesk,Hämeen vaalipiiri,29.07.1951,nyk
Tallqvist,Tarja,,Uudenmaan vaalipiiri,18.01.1944,ent
Talvitie,Mari-Leena,kok,Oulun vaalipiiri,11.06.1980,nyk
Tanus,Sari,kd,Pirkanmaan vaalipiiri,22.02.1964,nyk
Tavio,Ville,ps,Varsinais-Suomen vaalipiiri,25.06.1984,nyk
Tennilä,Esko-Juhani,,Lapin vaalipiiri,10.10.1947,ent
Terho,Sampo,ps,Helsingin vaalipiiri,20.09.1977,nyk
Thors,Astrid,,Helsingin vaalipiiri,06.11.1957,ent
Tiainen,Eila,,Keski-Suomen vaalipiiri,24.12.1945,ent
Tiilikainen,Kimmo,kesk,Kaakkois-Suomen vaalipiiri,17.08.1966,nyk
Tiura,Marja,,Pirkanmaan vaalipiiri,20.08.1969,ent
Tiusanen,Pentti,,Kymen vaalipiiri,06.03.1949,ent
Toivakka,Lenita,kok,Kaakkois-Suomen vaalipiiri,28.09.1961,nyk
Toivola,Jani,vihr,Uudenmaan vaalipiiri,27.11.1977,nyk
Tolppanen,Maria,ps,Vaasan vaalipiiri,24.11.1952,nyk
Tolvanen,Kari,kok,Uudenmaan vaalipiiri,24.07.1961,nyk
Torniainen,Ari,kesk,Kaakkois-Suomen vaalipiiri,15.03.1956,nyk
Tossavainen,Reijo,,Kymen vaalipiiri,13.11.1948,ent
Tuomioja,Erkki,sd,Helsingin vaalipiiri,01.07.1946,nyk
Tuppurainen,Tytti,sd,Oulun vaalipiiri,18.02.1976,nyk
Turunen,Kaj,ps,Kaakkois-Suomen vaalipiiri,27.12.1960,nyk
Tuupainen,Kauko,,Keski-Suomen vaalipiiri,08.05.1940,ent
Tynkkynen,Oras,,Pirkanmaan vaalipiiri,25.09.1977,ent
Tölli,Tapani,kesk,Oulun vaalipiiri,13.06.1951,nyk
Ukkola,Tuulikki,,Oulun vaalipiiri,28.11.1943,ent
Uotila,Kari,vas,Uudenmaan vaalipiiri,04.01.1955,nyk
Urpalainen,Anu,,Kymen vaalipiiri,27.09.1966,ent
Urpilainen,Jutta,sd,Vaasan vaalipiiri,04.08.1975,nyk
Uusipaavalniemi,Markku,,Uudenmaan vaalipiiri,23.11.1966,ent
Vahasalo,Raija,,Uudenmaan vaalipiiri,10.03.1961,ent
Wallin,Harry,sd,Vaasan vaalipiiri,23.05.1953,nyk
Wallin,Stefan,r,Varsinais-Suomen vaalipiiri,01.06.1967,nyk
Wallinheimo,Sinuhe,kok,Keski-Suomen vaalipiiri,09.03.1972,nyk
Valpas,Unto,,Oulun vaalipiiri,04.10.1944,ent
Vanhanen,Matti,kesk,Uudenmaan vaalipiiri,04.11.1955,nyk
Vapaavuori,Jan,,Helsingin vaalipiiri,03.04.1965,ent
Vartia,Antero,vihr,Helsingin vaalipiiri,22.08.1980,nyk
Vartiainen,Juhana,kok,Helsingin vaalipiiri,28.05.1958,nyk
Vehkaperä,Mirja,kesk,Oulun vaalipiiri,06.04.1976,nyk
Vehviläinen,Anu,kesk,Savo-Karjalan vaalipiiri,09.09.1963,nyk
Wideroos,Ulla-Maj,,Vaasan vaalipiiri,22.10.1951,ent
Viitamies,Pauliina,,Etelä-Savon vaalipiiri,11.03.1969,ent
Viitanen,Pia,sd,Pirkanmaan vaalipiiri,07.04.1967,nyk
Vikman,Sofia,kok,Pirkanmaan vaalipiiri,12.05.1983,nyk
Viljanen,Eerikki,kesk,Uudenmaan vaalipiiri,21.04.1975,nyk
Viljanen,Ilkka,,Hämeen vaalipiiri,12.12.1960,ent
Vilkuna,Pekka,,Oulun vaalipiiri,20.04.1949,ent
Virén,Lasse,,Uudenmaan vaalipiiri,22.07.1949,ent
Virkkunen,Henna,,Keski-Suomen vaalipiiri,04.06.1972,ent
Virolainen,Anne-Mari,kok,Varsinais-Suomen vaalipiiri,05.12.1965,nyk
